id_reply,id_comment,post_date,sentiment,content,id_status
1,61,,,Gia Bảo em cần thông tin của vị trí nào nhỉ?,116
1,63,,,Phạm Thanh Bình em check ib c nhé,119
1,64,,,Sang Nguyen em check ib c nhé,121
1,65,,,Đinh Thông em cần thông tin của vị trí nào vậy nhỉ,123
1,67,,,Kiên Văn em check ib c nha,126
1,68,,,Nguyễn Hữu Phúc em check ib c nhé,128
1,69,,,L.Xuân Hữu em check ib c nhé,130
1,70,,,Hạ Lâm em check ib c nhé,132
2,74,5-10-2022 10:02,,Tờ Jan c rep e ạ,137
1,74,,,Kim Dân em check ib c nhé,138
1,76,,,Ninh Hoàng Khải em check ib c nhé,141
1,81,,,Mi Mi em check ib c nhé,147
1,82,,,Hung Do em check ib c nhé,149
2,83,30-9-2022 20:33,,Tờ Jan Al engineer/ data engineer,151
3,83,30-9-2022 20:44,,Phạm Việt Tiến em check ib c nhé,152
1,83,30-9-2022 20:27,,Phạm Việt Tiến em quan tâm tới vị trí nào mà bên chị đang tuyển vậy ^^,153
2,84,30-9-2022 20:57,,Tờ Jan BA có cần kinh nghiệm j k ạ,155
3,84,30-9-2022 21:04,,"Phạm Dũng CTV thì bên chị tuyển khoảng 5,6 tháng kinh nghiệm còn nhân viên chính thức thì trên 1 năm em nhé",156
1,84,,,Phạm Dũng chỉ có BA bên chị tuyển trái ngành thôi em ạ,157
1,5,,,Phạm Tú bạn check tn chờ/ spam giúp mình nhé ạ,164
1,12,,,Hào Lê Tuấn bạn check tn chờ/ spam giúp mình nhé ạ,172
1,16,,,Nguyễn Công Phong bạn check tn chờ/ spam giúp mình nhé ạ,177
1,17,,,Duy Anh Nguyễn bạn check tn chờ/ spam giúp mình nhé ạ,179
1,19,,,Phan Ngọc Danh chất,182
1,20,,,Minh Nguyễn bạn check tn chờ/ spam giúp mình nhé ạ,184
1,1,4-10-2022 22:34,,Tùng Anh,188
2,1,5-10-2022 10:18,,Tùng Anh a check ib nhé,189
2,2,4-10-2022 21:09,,Nguyễn Thanh Trà chưa có chị ơi,191
3,2,4-10-2022 21:23,,Nguyễn Tuấn Linh a check spam nha a,192
1,2,,,Nguyễn Tuấn Linh a check ib nhé,193
2,3,4-10-2022 17:52,,Nguyễn Thanh Trà hic v ngoại ngữ kém,195
1,3,,,Vũ Văn Thiên dạ hiện tại HCM đang tuyển SAP tiếng Hàn a nhé,196
1,4,,,Lê Sơn đỉnh luôn,198
2,4,5-10-2022 10:19,,Lê Sơn a check ib nhé,199
1,5,,,Trịnh Bá Minh Ninh a check ib nhé,201
1,6,,,Tran Cao Tuan a check ib nhé,203
1,7,,,Hồ Hồng Đức a check ib nhé,205
1,8,,,a check ib nhé,207
1,9,,,Phúc Nguyễn a check ib nhé,209
1,10,,,Đức Nguyễn a check ib nhé,211
1,11,,,Lê Tuấn Anh a check ib nhé,213
1,12,,,Mai Thảo Linh c check ib nha,215
1,13,,,a check ib nhé,217
1,14,,,a check ib nhé,219
1,15,,,c check ib nhé,221
1,16,,,Dư Hoài c check ib nhé,223
1,17,,,Việt Lê a check ib nha,225
1,18,,,Bảo Ngọc c check ib nhé,227
1,19,,,Nguyễn Hữu Phúc a check ib nhé,229
1,22,,,Khang a check ib nhé,233
1,23,,,Nguyễn AnhDũng a check ib nhé,235
1,24,,,Hoàng Vũ a check ib nhé,237
1,25,,,a check ib nhé,239
1,5,,,Tùng Dương ứng tuyển kìa bạn,246
2,5,12-10-2022 16:56,,"Mình gửi JD nhé.
https://docs.google.com/.../1KA2Sie31ZdtNHL0NbnbxfrQ.../edit",247
3,5,12-10-2022 16:58,,"Tùng Dương Mức lương và phúc lợi công ty mình offer để phù hợp với yêu cầu công việc và kỹ năng. Còn về môi trường làm việc và văn hóa công ty thì khá thoải mái, có lộ trình đào tạo rõ ràng",248
2,1,24-7-2022 09:19,,Hằng Kin P giờ vào là team mình lại loạn lên đấy nên đợi thời gian sau,251
3,1,24-7-2022 09:30,,"Văn Phương
đợi cho đến bao giờ,lâu lắm,héo mòn",252
1,1,,,"Văn Phương
yess,b làm chân
cho mk đủ doanh số",253
2,2,24-7-2022 09:46,,Hằng Kin ntn money để đâu cho hết c nhỉ,255
3,2,24-7-2022 09:48,,Nguyễn Dương chết đói thôi,256
1,2,,,Nguyễn Dương ib chỗ thầm kín nha e,257
2,3,24-7-2022 10:20,,Mỵ Em Kin Hằng chị ơi chị tư vấn bên Tester cho b iem với ạ,259
3,3,24-7-2022 10:21,,Mỵ Em oki ib chị nha,260
1,3,,,Nguyễn Dương lập trình mà,261
1,6,,,Nguyễn An rep mk nha b,265
1,10,,,Hoàng Anh Quý ib nha b,270
1,11,,,Nguyễn Thế Hoàng rep ib nha b,272
1,13,,,Phước Đạt b rep ib mk nha,275
1,14,,,Phan Đức Huy b ib mk,277
1,15,,,Văn Thuận rep mk nha,279
1,16,,,Lê Quang Huy ib mk nha,281
1,17,,,Lê Tiến Dũng rep ib nha b,283
1,18,,,Lê Ngọc Vũ rep ib mk nha,285
1,20,,,Nguyễn Quang Vinh dạ rep ib b nha,288
1,21,,,Vi Đức req mk nha,290
1,22,,,Đỗ Phúc ib nha b,292
1,23,,,Vũ Quang Ngọc rep ib nha b,294
1,24,,,Nguyễn Khoa ib nha b,296
1,25,,,Phương Anh Lê ib mk,298
1,26,,,Lê Thành Đạt b rep ib mk,300
1,27,,,Vũ Đức Thắng ib nha b,302
1,28,,,Thành Trung b ib mk,304
1,29,,,Kim Thắng ib mk nha b,306
1,31,,,Ppham Pphuc rep ib nha b,309
2,31,25-7-2022 08:53,,Ppham Pphuc check ib mình với ạ,310
1,32,,,Trần Dương b ib mk,312
1,33,,,Hải Nguyễn Đức b ib mk,314
1,35,,,"Long Vũ co nha b,b rep ib mk",317
1,36,,,Đàm Xuân Thủy ib nha b,319
1,38,,,Việt Hưng ib nha b,322
1,39,,,Đàm Xuân Thủy ib nha b,324
1,40,,,Trần Linh Nga b rep ib mk nha,326
3,40,24-7-2022 12:19,,Vũ Trong Sáng lại lên hn làm xa lắm kk,327
2,40,24-7-2022 10:13,,Trần Linh Nga https://vieclam.f88.vn/.../chuyen-vien-kiem-thu.../2652...,328
1,43,,,Hoàng Văn Duy ib mk nha,332
1,44,,,Nguyễn Duy Hải Anh rep ib nha b,334
1,45,,,Thanh Ng haha cl,336
2,45,24-7-2022 11:22,,Tung NT k ạ,337
1,46,,,Ngọc Khiêm b rep ib nha,339
2,46,25-7-2022 08:54,,Ngọc Khiêm check ib mình với ạ,340
1,47,,,Vuong Vu b ib mk nhé,342
1,48,,,Hoài Thu b rep ib nha,344
1,49,,,Tran Nguyen req mk nha,346
3,49,25-7-2022 17:23,,anh vào được fsoft anh khao em bữa,347
2,49,25-7-2022 17:17,,Tran Nguyen hài,348
4,49,26-7-2022 09:10,,"Kiên Trung Lê
Em rất vui khi nhận được thư mời phỏng vấn từ công ty.
Em xin xác nhận lại là em sẽ có mặt trong buổi phỏng vấn vào ngày 27/07 23:00. Nếu cần thêm thông tin hay giấy tờ gì xin anh chị hay cho em biết để em có đc sự chuẩn bị tốt nhất. Em xin cảm ơn.… Xem thêm",349
3,49,26-7-2022 09:06,,"Tran Nguyen chúng tôi đánh giá CV của a là phù hợp, hẹn a 23h00 ngày 27/07/2022 lên 1900 phỏng vấn nhé",350
1,1,,,Nguyễn Trung Hậu em check mục tin nhắn chờ nha,354
1,3,,,Ahihi em check tin chờ nha,357
1,7,,,Nguyễn Huy Trí Cường em check tin chờ nha,362
1,14,,,Lập Phong em check tin chờ nha,370
1,15,,,Xuân Thuận e check tin nhắn chờ nha,372
1,20,,,Phạm Minh Cơ em check tin nhắn chờ nha,378
1,21,,,Võ Đạt em check mục tin chờ nha,380
1,23,,,"Bảo Bảo flutter là mobile rồi, java đó",383
2,24,4-9-2022 19:13,,Ly Duong dạ,385
1,24,,,Nguyễn A. Tài em check tin nhắn chờ nha,386
1,25,,,Chu Toàn em check mục tin nhắn chờ nha,388
1,27,,,Nguyên Nguyễn em check mục tin chờ nha,391
1,30,,,Nguyen Tran có em nhé,395
3,30,4-9-2022 15:26,,Nguyen Tran e check tin nhắn chờ nha,396
2,30,4-9-2022 15:23,,"Anh có thể cho em xin JD được không an? Em có thể sử dụng C#, Java ạ",397
1,33,,,Lê Hoàng Phúc em check tin nhắn chờ nhận JD nhé,401
1,36,,,Duy Nguyễn e check tin nhắn chờ nha,405
1,38,,,Le Dang Gia Minh em check mục tin nhắn chờ nha,408
1,43,,,Nhựt Quang Huỳnh em check mục tin nhắn chờ nhận Jd nha,414
1,44,,,Nguyen Tran em check mục tin nhắn chờ nha,416
1,61,,,Minh Thịnh em check mục tin nhắn chờ nha,434
1,63,,,Nguyễn Long em check tin nhắn chờ nha,437
1,67,,,Ngọc Luân e check mục tin nhắn chờ nha,442
1,68,,,Phan Nguyễn Đăng Trường em check tin nhắn chờ nhận JD,444
1,69,,,Thế Lân bạn check mục tin nhắn chờ,446
1,70,,,Lưu Thiên Nam em check tin nhắn chờ nha,448
1,1,,,e check ib nhé,451
1,2,,,Hoàng Tài e check ib nhé,453
1,3,,,Chu Tiến Mạnh e check ib nhé,455
1,4,,,e check ib nhé,457
1,9,,,Đỗ Ngọc Lợi no,463
2,12,10-10-2022 15:06,,Thanh Hằng java ạ,467
1,12,,,em quan tâm job nào nhỉ,468
1,1,,,Lê Hoàng e check tn spam nhé,479
2,2,23-9-2022 10:24,,Thanh Hằng front-end với nodejs ạ,481
1,2,,,em hỏi job nào nhỉ,482
2,3,26-9-2022 14:55,,Thanh Hằng em hỏi jb tts java ạ,484
1,3,,,Phạm Tú em hỏi job nòa nhỉ,485
1,4,,,Nam Anh e check ib nhé,487
1,5,,,Nam e check ib nhé,489
1,6,,,bạn check ib mình nhé,491
1,7,,,Hồng Hải e check ib nhé,493
1,8,,,Lê Hoàng Trung e check ib nhé,495
1,9,,,Nguyễn Văn Lộc e check ib nhé,497
1,10,,,Quang Trường e check ib nhé,499
1,11,,,Phạm Tuấn bên c chưa tuyển tts FE rùi,501
2,11,22-9-2022 11:21,,C cho e xin jd fresher fe ạ,502
1,12,,,Vũ Triệu e check ib nhé,504
1,13,,,Quốc Việt e check ib nhé,506
1,14,,,Tây Độc Đông Tà e check ib nhé,508
1,15,,,e check tn spam nhé,510
1,16,,,e check ib nhé,512
1,17,,,Minh An e check ib nhé,514
1,18,,,Nguyễn Lương bên c chưa tuyển tts FE rùi,516
1,19,,,Tuấn Võ FE bên c chưa tuyển TTS rồi,518
1,20,,,Dan Tran e check ib nhé,520
2,28,12-10-2022 13:37,,Vâng ạ,529
1,28,,,bên c ngưng tuyển nodejs r nha,530
1,29,,,Nguyễn Quang Huy e check ib nhé,532
1,30,,,Đinh Duy Thanh e check ib nhé,534
2,33,3-10-2022 17:29,,Thanh Hằng hiện tại e chưa có kinh nghiệm ạ,538
3,33,5-10-2022 13:41,,Tuấn Võ vậy đợt này bên chị chưa tuyển rùi,539
4,33,5-10-2022 13:53,,Thanh Hằng dạ vâng e cảm ơn ạ,540
1,33,,,"Tuấn Võ Hi em, em có kinh nghiệm chưa nhỉ",541
2,1,9-10-2022 16:16,,Diệp Nguyễn E xin jd,546
1,1,,,Phạm Văn Tuân bạn check tin nhắn chờ/spam nhé,547
1,4,,,Lâm Nguyễn bạn check tin nhắn chờ/spam nhé,551
1,1,,,Phạm Quang Chiến ?,556
2,1,8-10-2022 16:54,,"Phạm Quang Chiến chào em, chị gửi link JD và ứng tuyển nhé: https://mily.vn/UCjhHPr",557
1,2,8-10-2022 16:54,,"Đinh Trọng San chào em, chị gửi link JD và ứng tuyển nhé: https://mily.vn/UCjhHPr",559
1,3,8-10-2022 16:54,,"Nhật Lê chào em, chị gửi link JD và ứng tuyển nhé: https://mily.vn/UCjhHPr",561
1,4,5-10-2022 23:47,,"Sơn Nguyễn chào em, chị gửi link JD và ứng tuyển nhé: https://mily.vn/UCjhHPr",563
1,7,5-10-2022 23:47,,"Trần Huy Hoàng chào em, chị gửi link JD và ứng tuyển nhé: https://mily.vn/UCjhHPr",567
1,8,5-10-2022 23:47,,"Ngọc Trường chào em, chị gửi link JD và ứng tuyển nhé: https://mily.vn/UCjhHPr",569
1,9,6-10-2022 09:36,,"Mai Hồng Quân chào em, chị gửi link JD và ứng tuyển nhé: https://mily.vn/UCjhHPr",571
1,11,6-10-2022 16:38,,"Lâm Phương chào em, chị gửi link JD và ứng tuyển nhé: https://mily.vn/UCjhHPr",574
1,13,5-10-2022 23:47,,"Duy Nam chào em, chị gửi link JD và ứng tuyển nhé: https://mily.vn/UCjhHPr",577
1,14,6-10-2022 08:12,,"Mạnh Hiếu chào em, chị gửi link JD và ứng tuyển nhé: https://mily.vn/UCjhHPr",579
1,15,5-10-2022 23:47,,"Đức Quyền chào em, chị gửi link JD và ứng tuyển nhé: https://mily.vn/UCjhHPr",581
1,17,,,.,584
2,17,5-10-2022 22:35,,.,585
3,17,5-10-2022 22:35,,.,586
1,7,,,Thành Trung em check ib c nhé,595
1,11,,,Văn Hùng em check ib c nhé,600
1,12,,,em check ib nhé,602
1,13,,,Hao Nguyen e check ib nhé,604
1,14,,,Nguyễn Quyết Tiến em check ib chị nhé,606
1,15,,,Thế Luật em check ib c nhé,608
1,16,,,Hoa Le em check ib nhé,610
1,20,,,Đạt Nguyễn e check ib nhé,615
1,1,,,Bùi Thành Nam em check tin chờ nha,619
1,2,,,Ngọc Diễmm em check tin chờ nha,621
1,3,,,Duy Ngọc Nguyễn em check tin chờ nha,623
1,4,,,Tuấn Kiệt em check tin chờ nhận jd nha,625
1,5,,,Thanh Nhân em check tin nhắn chờ nha,627
1,9,,,Ngọc Kidou em check tin nhắn chờ nha,632
1,10,,,Lương Ngụy em check tin chờ nha,634
1,16,,,Hathor Luo em check tin nhắn chờ nha,641
1,18,,,Nguyễn Tấn Phát e check tin chờ nha,644
1,19,,,Sơn Hà e check tin nhắn chờ nha,646
1,20,,,Nguyễn Ngọc Thông em check tin nhắn chờ nha,648
1,21,,,Đỗ Trọng e check tin chờ nha,650
1,22,,,Khang Nguyen em check tin nhắn chờ,652
1,23,,,Le Hai Anh em check tin nhắn chờ nha,654
1,26,,,Phạm Tiến Đạt em check tin nhắn chờ nhận jd nha,658
2,26,17-7-2022 18:10,,Phạm Tiến Đạt gần nhà luôn này,659
1,29,,,Phan Kiệt em check tin nhắn chờ nha,663
1,31,,,Hòa Thuận em check tin nhắn chờ nha,666
1,33,,,Dương An em check tin nhắn chờ nha,669
1,35,,,Trịnh Khang em check tin nhắn chờ nha,672
1,36,,,Trần Tuấn Huy e check tin chờ nha,674
1,37,,,Hào Trần em check tin chờ nhé,676
1,38,,,Đỗ Kiên em check tin nhắn chờ or spam nhé,678
1,40,,,Thanh Hải em check tin nhắn chờ nhé,681
1,41,,,Hoàng em check tin nhắn chờ nha,683
1,43,,,Nguyễn Vạn Phát em check tin nhắn chờ nha,686
1,44,,,Tiến Sĩ em check tin chờ nhận jd,688
1,45,,,Nam Phan em check tin nhắn chờ nha,690
2,45,17-7-2022 20:23,,Nam Phan ghê ta,691
1,49,,,Lương Hoàng Quân e check tin nhắn nha,696
1,51,,,Quỳnh Nhi em check tin nhắn chờ nha,699
1,54,,,Tuan Rider em check tin nhắn chờ nha,703
1,59,,,Lê Mây em check tin nhắn chờ nha,709
1,63,,,Long Hoàng Phạm e check tin nhắn chờ or spam nha,714
1,66,,,Rella Minions em check tin nhắn chờ hoặc spam nhé,718
1,67,,,An Lê em check tin nhắn chờ nha,720
1,1,,,Duy Mạnh em check ib chị nha,723
1,2,,,Nhựt Thảo em check ib c nha,725
1,3,,,Nguyen Huy Hoang em check ib chị nhé,727
1,4,,,Sằn Đức Hùng em check ib chị nha,729
1,5,,,Nguyễn Thanh Hiếu em check ib c nha,731
1,7,,,Anh Tuan Nguyen em check ib c nha,734
2,8,27-7-2022 11:04,,Tờ Jan vâng em nhận được rồi,736
1,8,,,Kim Hương em check ib c nha,737
1,9,,,Trần Trung em check ib c nhé,739
1,10,,,Trần Lê Hoài Thy em check ib c nha,741
1,12,,,Kim Tuyền em check ib chị nha,744
1,13,,,Lương Ngụy em check ib chị nha,746
1,14,,,Nguyễn Huyền em check ib c nha,748
2,15,21-7-2022 21:31,,Lại Trường em check ib c nha,750
1,15,,,Mỹ Huyền ké ạ,751
2,15,21-7-2022 21:31,,Mỹ Huyền em check ib chị nha,752
1,16,,,Uyên Tỉ em check ib chị nha,754
1,17,,,Văn Thuận em check ib c nha,756
2,19,29-7-2022 23:52,,Võ Duy Việt Backend m,759
1,19,,,Phạm Văn Đông tính theo mảng nào thế m,760
1,20,,,Dương An em check ib c nha,762
1,21,,,Nguyễn Phi Long em check ib chị nha,764
1,22,,,Chí Thành em quan tâm tới vị trí nào vậy Thành,766
2,22,21-7-2022 21:42,,Dạ em quan tâm Developer và Data Engineer ạ,767
2,23,21-7-2022 21:37,,Tờ Jan dạ vâng ạ,769
1,23,,,Phạm Trung em check ib chị nha,770
1,24,,,Phùng Đức Đạt em check ib c nha,772
1,26,,,Vũ Quang Ngọc bạn check ib mình nha,775
1,27,,,Nguyễn An Linh em check ib chị nha,777
1,28,,,Trung Nguyen em check ib c nhé,779
1,29,,,Nguyễn Thiên Minh em check ib c nha,781
1,30,,,Nguyễn Phạm Mạnh Cường em check ib chị nha,783
1,31,,,Trần Phú Qúi em check ib c nha,785
1,33,,,Nguyễn Tú Anh bạn check ib mình nhé,788
1,34,,,Bom Bao Bánh em check ib c nha,790
1,37,,,Nguyễn Thanh Tùng em check ib c nha,794
1,38,,,Lê Nam em check ib c nhé,796
1,39,,,Đỗ Trọng em check ib chị nha,798
1,40,,,Hưng Trương em check ib chị nha,800
1,41,,,Vũ Nguyễn Đình Linh em check ib c nha,802
2,42,21-7-2022 21:51,,"Tờ JanTờ Jan node js ạ,mà bên mình tuyển tts k ạ",804
3,42,21-7-2022 22:00,,"Ngọc Dương Hiện tại bên chị tuyển Fresher thôi em ạ, nhưng mà cũng không yêu cầu kinh nghiệm đâu. Chị gửi JD qua tin nhắn cho em rồi đó",805
1,42,,,"Ngọc Dương Hi em, em quan tâm tới vị trí nào vậy",806
1,43,,,Hoàng Hồng Hạnh em check ib c nha,808
1,44,,,"Việt Đoàn chào em, em quan tâm tới vị trí nào vậy",810
1,45,,,Trung Nguyễn em check ib c nha,812
1,46,,,Trường Nguyễn em checi ib c nha,814
1,49,,,Hội Trần em check ib chị nha,818
1,50,,,Nguyễn Việt Dũng em check ib c nha,820
1,52,,,Thang Dinh em check ib c nha,823
1,53,,,Nhật Nguyễn em check ib c nha,825
1,54,,,Chí Thanh em check ib chị nha,827
1,55,,,Đỗ Hữu Đại em check ib c nhé,829
1,57,,,Duy Khanh em check ib c nha,832
1,58,,,Hải Dương em check ib c nhé,834
1,59,,,Lưu Ly em check ib c nhé,836
1,61,,,Lữ Trọng Tuấn bạn check ib mình nhé,839
1,62,,,Minh Minh Minh em check ib c nha,841
1,64,,,Duy Anh Vũ em check ib c nha,844
1,65,,,Nguyễn Đức em check ib chị nha,846
1,66,,,Chi Lamy em check ib c nha,848
1,67,,,Nguyen Duc Minh em check ib chị nha,850
1,68,,,"Bi Nguyen hi em, em cần thông tin của vị trí nào vậy",852
1,70,,,Lê Đức em check ib c nhé,855
1,72,,,"Ho Viet Anh Chào em, em quan tâm tới vị trí nào vậy",858
1,74,,,Quang Huy em check ib c nha,861
1,1,,,Thanh Thanh Hà C check inbox mình nha,864
1,2,,,Bình Kenny Bạn check inbox mình nha,866
1,3,,,Mạnh Tiến Bạn check inbox mình nha,868
1,4,,,Hoàng Sơn bạn check inbox mình nha,870
1,5,,,Thế Việt Bạn check inbox mình nha,872
1,6,,,Nguyễn Nghĩa Bạn check inbox mình nha,874
2,7,7-3-2022 08:22,,Vũ Đăng Tình vậy php thì sao ạ,876
3,7,7-3-2022 08:22,,"Ant.Nguyễn Nam Trường Tiếc quá, php cũng thế",877
4,7,7-3-2022 08:23,,Vũ Đăng Tình dạ vầng ạ e cảm ơn,878
1,7,7-3-2022 08:21,,"Ant.Nguyễn Nam Trường Chào bạn ở HN job này chưa tuyển lại, hiện chỉ đang tuyển ở HCM thôi",879
1,9,,,Huy An Bạn check inbox mình nha,882
1,10,,,Duy Đỗ Bạn check inbox mình nha,884
1,11,,,Bùi Thế Ngọc Bạn check inbox mình nha,886
2,12,11-2-2022 07:03,,Vũ Thị Bích Ngọc sao đó bé ei,888
1,12,,,Lương Dung ..,889
2,12,11-2-2022 07:40,,Lương Dung Bạn check inbox mình nha,890
1,14,,,Suzu Urano bạn check inbox mình nha,893
1,15,,,Ánh Nguyệt Bạn check inbox mình nha,895
1,16,,,Bạn check inbox mình nha,897
1,17,,,Anh Dung Bui Bạn check inbox mình nha,899
1,19,,,Huy Nguyễn Bạn check inbox mình nha,902
1,20,,,Nguyễn Thanh Tùng Bạn check inbox mình nha,904
2,20,12-2-2022 21:43,,Nguyễn Thanh Tùng máu thế,905
1,21,,,Võ Lâm Phi Hùng Bạn check inbox mình nha,907
1,22,,,Nguyễn Thế bạn check inbox mình nha,909
1,24,,,Trần Định bạn check inbox mình nha,912
1,25,,,Hoài Su Bạn check inbox mình nha,914
1,26,7-3-2022 21:04,,"Phạm Nguyên Phú chào bạn, tiếc quá job này đang tạm dừng tuyển nha",916
1,27,,,Trần Quang Duy Bạn check inbox mình nha,918
1,28,,,Nguyễn Đình Nghĩa Bạn check inbox mình nha,920
1,29,,,Cổ Phúc Hậu Bạn check inbox mình nha,922
1,30,,,Thuỷ Nguyễn bạn check inbox nha,924
1,32,,,Gà Con Bạn check inbox mình nha,927
1,33,13-2-2022 21:39,,"Hoàng Việt Chào bạn, rất tiếc job Flutter đang tạm thời dừng tuyển.",929
1,34,,,Nguyễn Văn Quang Linh Bạn check inbox mình nha,931
1,35,,,Nghĩa Hoàng bạn check inbox mình nha,933
1,36,,,Hà Minh Hoàng bạn check inbox mình nha,935
2,37,7-3-2022 14:32,,Vũ Đăng Tình dạ em cảm ơn,937
1,37,,,Sophie Sophie Không bạn nhé,938
1,38,13-2-2022 21:39,,"Duy Pham Chào bạn, rất tiếc job Flutter đang tạm thời dừng tuyển.",940
1,39,17-2-2022 21:34,,"Võ Phúc Sơn Chào bạn, rất tiếc job Flutter đang tạm thời dừng tuyển.",942
1,40,,,Bùi Thanh Sơn Bạn check inbox mình nha,944
1,41,,,Ngọc Ánh Bạn check inbox mình nha,946
1,42,,,"Tuấn Nam Chào bạn, tiếc quá job này hiện đã tuyển xong rồi nha",948
1,43,,,TR Anh Lan Bạn check inbox mình nha,950
1,44,,,Vo Danh Bạn check inbox mình nha,952
1,45,,,Long Hoàng Phạm bạn check inbox mình nha,954
1,46,,,My Duong Chan Bạn check inbox mình nha,956
1,49,,,Trịnh Thị Mai Bạn check inbox mình nha,960
1,50,,,Nguyễn Minh Tú Bạn check inbox mình nha,962
1,51,,,Huỳnh Nguyễn Hiếu Nghĩa Bạn check inbox mình nha,964
1,52,,,Lý Bùi Bạn check inbox mình nha,966
1,53,,,Ngọc Quỳnh Bạn check inbox mình nha,968
1,54,,,"Văn Hảo Chào bạn, ở HCM không tuyển job này nha",970
1,55,,,Huy Dragneel Bạn check inbox mình nha,972
1,56,,,Tuấn Anh bạn check inbox mình nha,974
1,1,,,Hải Trần chek ib nha em ơi,977
1,2,,,Đoan Trần check ib nha em ơi,979
1,4,,,Quang Hữu Phạm check ib nha e,982
1,5,,,Nguyễn Minh em check tn chờ / spam nhé,984
1,6,,,Lê Văn Thuận ib nha em ơi,986
1,7,,,Văn Bắc check ib nha em ơi,988
1,9,,,ib nha e ơi,991
1,11,,,Phạm Long ib nha e ơi,994
1,12,,,Nguyễn Xuân Minh check tn chờ/ spam giúp c nha,996
1,15,,,Tung Nguyen check tn chờ / spam giúp c nha,1000
1,17,,,Nguyễn Hùng bên mh dừng tuyển ròi nhé,1003
2,18,9-9-2022 14:56,,Bình An em xin intern reactjs ạ,1005
3,18,9-9-2022 15:00,,Nhu Huy em check tn chờ / spam nhé c ib ròi nhé,1006
1,18,,,Nhu Huy em muốn vị trí nào vậy,1007
1,19,,,Quang Trường chek ib nha em ơi,1009
1,20,,,Quách Truyền check tn chờ / spam nhé em .,1011
1,21,,,Phan Nguyễn Thành Duy check ib nha e ơi,1013
1,23,,,Sơn Hoàng ib nha em ơi,1016
1,24,,,Nguyễn Tuân check ib nha e ơi,1018
