id_post,content,post_date,sentiment,share,source_division,title,total_comment,url,username,id_status
11,"[HN] Tuyển 30 fresher web, đào tạo fullstack, không y/c kinh nghiệm, cấp dấu thực tập, hỗ trợ đồ án TN, lên nhân viên sau 2 tháng",5-10-2022 22:11,,2,1,"[HN] Tuyển 30 fresher web, đào tạo fullstack, không y/c kinh nghiệm, cấp dấu thực tập, hỗ trợ đồ án TN, lên nhân viên sau 2 tháng",56,https://www.facebook.com/groups/174764463261090/posts/1315542589183266/?__cft__[0]=AZX20ZG-mf-vfsgqBC8DcYH9cX9rRfvx1e8gvazWwWB9dN7z_GG7klwonKOqeNWHCMZhsSSw5ax4q536rcNddGQKL3un99BiDLXlHXqbGKKjYZVwRaFC9i0zn7EPr5lVrV_OM2Kftl7LFmPXpMVKEVKs&__tn__=%2CO%2CP-R,Phuong Anh,554
12," [𝐻𝑎̀ 𝑁𝑜̣̂𝑖] 𝐶𝑜̂𝑛𝑔 𝑡𝑦 𝑐𝑜̂̉ 𝑝ℎ𝑎̂̀𝑛 𝑉𝐶𝐶𝑜𝑟𝑝 𝐓𝐔𝐘𝐄̂̉𝐍 𝐃𝐔̣𝐍𝐆 - Java Backend (Fresher => Dev) - IOS (Intern => Dev) - PHP (Fresher => Dev) - ReactJS (Fresher => Dev) - C#, .Net (Fresher => Dev) - VueJS (Fresher => Dev) Lương, thưởng, chế độ đãi ngộ hấp dẫn Môi trường làm việc trẻ trung, năng động, sếp tâm lý, thoải mái Văn phòng trang bị đầy đủ thiết bị hiện đại ----- Thông tin liên hệ: CV gửi về địa chỉ mail: tonhi1912001@gmail.com Zalo/Telegram: 0392077320 Ib ngay để nhận JD, trao đổi chi tiết ạ!",29-7-2022 16:51,,3,1, [𝐻𝑎̀ 𝑁𝑜̣̂𝑖] 𝐶𝑜̂𝑛𝑔 𝑡𝑦 𝑐𝑜̂̉ 𝑝ℎ𝑎̂̀𝑛 𝑉𝐶𝐶𝑜𝑟𝑝,32,https://www.facebook.com/groups/174764463261090/posts/1267931197277739/?__cft__[0]=AZVVzFR5fqssmyqA179paM1oZyG5fXJT-035HljY0IyMXj7vr3hC7VHNsUPyJUqDSNM5GlbBTm9kQWhtLQ572wmvHeXvZVnUKhHmluDifsVSBTuY5SbsaRSMAYRkV3SUwkew7_ukB30H2SQjf3B9GTXi&__tn__=%2CO%2CP-R,Hồng Dương,587
13,"[HCM] Intern/Fresher Wanted  Công ty 1C Innovation hoạt động về mảng ERP mở tuyển đợt mới vị trí Developer cho intern/fresher. ĐC: Toà Mesa, 202 Lý Chính Thắng, Q.3, TP HCM. Môi trường trẻ trung, đãi ngộ siêu tốt   Yêu cầu: Part time: open cho sinh viên năm 3 và 4 với intern, full time cho fresher Biết ít nhất 1 ngôn ngữ code, logic tốt Có tiếng Anh là 1 lợi thế  Chế độ: intern có phụ cấp và flexible về thời gian, đc nhận ngay sau khi training. Mức lương hấp dẫn, đóng bảo hiểm từ khi ký hợp đồng, nhận lương net. Đồng nghiệp thân thiện, môi trường nhiều cơ hội phát triển bản thân. Làm việc từ 9am-6pm, Mon-Fri  Apply: gửi CV về email ly.duong@1ci.vn ",17-7-2022 08:50,,3,1,[HCM] Intern/Fresher Wanted,105,https://www.facebook.com/groups/174764463261090/posts/1259545918116267/?__cft__[0]=AZW9SViapRcFiB00xcbxB33U0JmnuerN83_Zff68KGN2PwfTQlqAs0WVVL90VSJU5aH8DyBY-En5F5icvz5kH9G7L_dM9LMIP98iY7_YEwmJkcm2kfnWylOimMqyXZyS_nsJjGr_N3DtVNEAQIEDZLHy&__tn__=%2CO%2CP-R,Ly Duong,617
14,"VNPT - IT tuyển dụng Fresher fulltime/parttime Khu vực: Hà Nội, HCM, Đà Nẵng, Hải Phòng, Tiền Giang Các vị trí tuyển dụng: Lập trình (PHP, Java, .Net, Python, Nodejs, Frontend, iOS, Android, Flutter) Manual Tester AICV / AI NLP (Hà Nội) Data Engineer (Hà Nội) An toàn thông tin (Hà Nội) Gửi CV + bảng điểm để ứng tuyển Chương trình áp dụng cho các bạn sinh viên năm cuối hoặc mới tốt nghiệp không quá 1 năm khối ngành CNTT, ATTT Nhận lương lên đến 10tr/tháng tùy vị trí công việc ngay từ thời gian đào tạo Tham gia miễn phí các khóa đào tạo chuyên môn & kỹ năng mềm Tham gia hỗ trợ phát triển các sản phẩm với hàng chục triệu người dùng. Được tư vấn & định hướng nghề nghiệp từ các Mentors - những chuyên gia hàng đầu trong lĩnh vực CNTT. Cơ hội được tuyển dụng chính thức tại VNPT sau thời gian đào tạo với mức thu nhập năm hấp dẫn kèm các chế độ phúc lợi từ Tập đoàn VNPT ------------------------------------------------- Gửi hồ sơ ứng tuyển đến email: bannhansu.vnptit@vnpt.vn Tiêu đề email ghi rõ: Họ và tên_Vị trí dự tuyển_Địa bàn ứng tuyển",21-7-2022 17:32,,16,1,VNPT - IT tuyển dụng Fresher fulltime/parttime,148,https://www.facebook.com/groups/174764463261090/posts/1262877564449769/?__cft__[0]=AZW7rLdS2lKaqmyCca-uBBEjLRQV1I7GCktAFceuebxodq_bvagO39oqAeM7bEIoaBC8FGGUZrA704Vg206TXIchQDAr7aF7uz1XSdTkzHQ9AnO-OxZAjYeTwmkJ1pj2GK5d4bzk2Y7GLXxMjE_5xhhH&__tn__=%2CO%2CP-R,Tờ Jan,721
15,"TUYỂN DỤNG FRESHER [ FPT SOFTWARE HN, HCM] Các list job đa dạng dành cho các bạn sinh viên năm cuối hoặc mới tốt nghiệp các ngành CNTT, Điện tử viễn thông, Kỹ thuật phần mềm,... Không yêu cầu kinh nghiệm, được đào tạo bài bản Hỗ trợ lương 5-8M/ tháng Đào tạo Online Apply to: TinhVD1@fsoft.com.vn với tiêu đề [Vị trí ứng tuyển] _ [Họ và tên] #tuyendung #Fresher",10-2-2022 14:07,,4,1,"TUYỂN DỤNG FRESHER [ FPT SOFTWARE HN, HCM]",114,https://www.facebook.com/groups/174764463261090/posts/1151348138936046/?__cft__[0]=AZVle5TR-yxdCSPuI2xmV_zQhAim2sNi2RE-mdb_gyZsD9AN9RKdciBBaoP4NMkFZAm-o2jZgtDjN_7FVmAXB8oG5xDBpn0Ph77iXPkspVgg4D9S1RT6JCB_IoSc5u14x9drGHOOC7qSbC-I7v7LG5kZ&__tn__=%2CO%2CP-R,Vũ Đăng Tình,862
16,"HN CẦN TUYỂN INTERN/ FRESHER C/C++ Software Engineer ( Fresher)- LG Offer $550- $2.000 ReactJS (Intern / fresher ) – BraveBits ( 6-10M) Python Intern – LitComemerce ( 6-8M) Thực tập sinh Ruby ( NAL) Hỗ trợ hàng tháng , gắn bó với nghề . Cơ hội lên chính thức . Quan tâm ib m gửi JD nhé",,,2,1,HN CẦN TUYỂN INTERN/ FRESHER,105,https://www.facebook.com/groups/174764463261090/posts/1295880801149445/?__cft__[0]=AZXD19LRCPvTkaL3t451crShoF2qROh4YA50Nv6Ojy1EpRGo1MdK2S5adKZwRJ3DE5uWvBrOqUacj-1SGP-31PBuoRPE1xMV2d0X1l8fxMCzXP_9LQwLv5G59GzOJunhjRAiswJNP7RDuSotrDOZraUw&__tn__=%2CO%2CP-R,Bình An,975
17,"HN CẦN TUYỂN INTERN/ FRESHER C/C++ Software Engineer ( Fresher)- LG Offer $550- $2.000 ReactJS (Intern / fresher ) – BraveBits ( 6-10M) Python Intern – LitComemerce ( 6-8M) Thực tập sinh Ruby ( NAL) Hỗ trợ hàng tháng , gắn bó với nghề . Cơ hội lên chính thức . Quan tâm ib m gửi JD nhé",9-9-2022 08:59,,2,1,HN CẦN TUYỂN INTERN/ FRESHER,105,https://www.facebook.com/groups/174764463261090/posts/1295880801149445/?__cft__[0]=AZXD19LRCPvTkaL3t451crShoF2qROh4YA50Nv6Ojy1EpRGo1MdK2S5adKZwRJ3DE5uWvBrOqUacj-1SGP-31PBuoRPE1xMV2d0X1l8fxMCzXP_9LQwLv5G59GzOJunhjRAiswJNP7RDuSotrDOZraUw&__tn__=%2CO%2CP-R,Bình An,1069
18,"[HN] POST NÀY TUYỂN INTERN VÀ FRESHER Python Intern/Fresher ReactJs Fresher/Intern Java Fresher .NET/ C# Fresher PHP Fresher C++ Fresher Mobile Developer Intern (Flutter/React Native) React Native Golang Fresher/Intern Lương/trợ cấp hấp dẫn, cơ hội lên chính thức và lộ trình thăng tiến rõ ràng. Quan tâm inbox mình gửi JD từng vị trí nhé.",,,2,1,[HN] POST NÀY TUYỂN INTERN VÀ FRESHER,125,https://www.facebook.com/groups/174764463261090/posts/1283546052382920/?__cft__[0]=AZUSWYg5fymhBTBJIt4DpwhSEJC3FSB7x348ykFHAl7wn_dyzwPyWB0I-3uyhdTLDLdL6-CwVmSQ-4KKbb24E-1tgpnegPCpGGxtOlRAYvQmlp289zifHKlULWaAs8M8THQcOQQ5o4r88YS8R5rrYJiT&__tn__=%2CO%2CP-R,Anh Nguyen,1163
19,"Công ty công nghệ CHIÊU MỘ FRESHER PHP, PYTHON, RUBY Nếu bạn đang là SINH VIÊN NĂM 4/ CÁC BẠN MỚI RA TRƯỜNG KHÔNG YÊU CẦU KINH NGHIỆM đang cần tìm môi trường gắn bó. Hãy về với đội của Miagi Solution Quyền lợi được hưởng: Được làm task dự án thực tế Lương khởi điểm hấp dẫn 6-10M On job training, review lương định kì Lương tháng thứ 13, thưởng lễ tết, thưởng dự án Phụ cấp gửi xe, ăn trưa, beauty care. Chân dung ứng viên: Có kiến thức nền tảng vẵng bất kì ngôn ngữ nào Tinh thần, thái độ nghiêm túc trong công việc Làm dự án cá nhân, đội nhóm về web Gửi CV qua SĐT:0348193076 Email: hr@miagi-so.com",,,1,1,"Công ty công nghệ CHIÊU MỘ FRESHER PHP, PYTHON, RUBY",13,https://www.facebook.com/groups/174764463261090/posts/1321512991919559/?__cft__[0]=AZX2glMK_4qmTHRAAsL7WYx7cClF9sscvkDw7u8fX7YPpmQoY9BkGX0KxzOLY7RGUDMStyh0BYJBpCkgTEAjn3_o2Z3Q4wxnySlOGK-NL9O2xunkJ4lMJHZZ9R4PEJoKJu1pVO3UCNtWO9eb9I3h3M6L&__tn__=%2CO%2CP-R,Vu Hong Ngoc,1277
20,"POST NÀY TUYỂN #FRESHER JAVA, PYTHON (DJANGO) VỀ ""OÁNH"" LOL CÙNG VIETIS ( ´ ▽ ` ) Job dành cho các bạn sinh viên năm cuối/mới tốt nghiệp Làm việc full-time từ thứ 2 - thứ 6 Được đào tạo bài bản bởi mentor dày dặn kinh nghiệm Chỉ cần đã thực tập/làm đồ án/dự án cá nhân sử dụng Java, Python (Django) --- CV ứng tuyển các bạn gửi về mail linhnb@vietis.com.vn Inbox mình để được tham khảo kỹ hơn về từng vị trí Cảm ơn đã đọc tin ạ ( ´ ω ` )",12-9-2022 22:47,,1,1,"POST NÀY TUYỂN #FRESHER JAVA, PYTHON (DJANGO) VỀ ""OÁNH"" LOL CÙNG VIETIS ( ´ ▽ ` )",49,https://www.facebook.com/groups/174764463261090/posts/1298341967569995/?__cft__[0]=AZXt5B6VHH6DOfDPy_2POkEQtpyGCQGBJLP7rh4iD0khMVpogHY2kBJVdoGZkoyhUXu1wPnUJ-wgMAX0o7yAdzXMMV9JnIu0DWhNbYwYNTosMdgABXAYB_CFRqDmQ0ZLH1kjFAT0agbHxQb2M34ek56I&__tn__=%2CO%2CP-R,Bao Linh Nguyen,1291
21,"[Kaopiz software] TUYỂN DỤNG INTERN/FRESHER TESTER QUYỀN LỢI: Đào tạo miễn phí trong 2 tháng, có trợ cấp Lương sau đào tạo upto 15M (Fresher), upto 60k/giờ (Intern) Định hướng cho các vị trí quản lý trong tương lai YÊU CẦU: Không yêu cầu kinh nghiệm Sinh viên năm cuối/cận cuối/mới tốt nghiệp, GPA >= 2.5 Ứng viên có base IT Chi tiết vui lòng liên hệ mình để được tư vấn rõ hơn nhé!",19-9-2022 16:12,,8,1,[Kaopiz software] TUYỂN DỤNG INTERN/FRESHER TESTER,72,https://www.facebook.com/groups/174764463261090/posts/1303126110424914/?__cft__[0]=AZVMikFkvqfcMd9VsSHAVkDR72XVqb3yG_GqOvL4nloctuEmAnBh1ot0W0OLcefdOf-9GDHv2v4N-CZJin3o7GJSHA2XjTimauttOyIumMIS9MiZHVmsoMIZUO0JuT03MoGGNr-1lvzQnpL6hhF-bvBf&__tn__=%2CO%2CP-R,Phuong Anh,1336
22,"Công ty công nghệ CHIÊU MỘ FRESHER PHP, PYTHON, RUBY Nếu bạn đang là SINH VIÊN NĂM 4/ CÁC BẠN MỚI RA TRƯỜNG KHÔNG YÊU CẦU KINH NGHIỆM đang cần tìm môi trường gắn bó. Hãy về với đội của Miagi Solution Quyền lợi được hưởng: Được làm task dự án thực tế Lương khởi điểm hấp dẫn 6-10M On job training, review lương định kì Lương tháng thứ 13, thưởng lễ tết, thưởng dự án Phụ cấp gửi xe, ăn trưa, beauty care. Chân dung ứng viên: Có kiến thức nền tảng vẵng bất kì ngôn ngữ nào Tinh thần, thái độ nghiêm túc trong công việc Làm dự án cá nhân, đội nhóm về web Gửi CV qua SĐT:0348193076 Email: hr@miagi-so.com",12-10-2022 14:25,,1,1,"Công ty công nghệ CHIÊU MỘ FRESHER PHP, PYTHON, RUBY",13,https://www.facebook.com/groups/174764463261090/posts/1321512991919559/?__cft__[0]=AZX2glMK_4qmTHRAAsL7WYx7cClF9sscvkDw7u8fX7YPpmQoY9BkGX0KxzOLY7RGUDMStyh0BYJBpCkgTEAjn3_o2Z3Q4wxnySlOGK-NL9O2xunkJ4lMJHZZ9R4PEJoKJu1pVO3UCNtWO9eb9I3h3M6L&__tn__=%2CO%2CP-R,Vu Hong Ngoc,1366
23,"Tuyển dụng Fresher/Intern/LTV tại cả HN và HCM nhiều vị trí  Quyền lợi: - Được đào tạo lý thuyết và on job training 1 - 3 tháng, trợ cấp up to 6 triệu/tháng - Được làm việc trong môi trường chuyên nghiệp, trẻ trung và năng động - Được tham gia vào các dự án lớn về thương mại điện tử, khách hàng quốc tế. - Có cơ hội trở thành nhân viên chính thức sau quá trình thực tập Yêu cầu: - Sinh viên năm 3, 4 hoặc đã tốt nghiệp ngành CNTT hoặc các ngành liên quan, xếp loại khá, giỏi. - Có thể tham dự đào tạo full-time - Tiếng Anh tốt hoặc có kết quả học tập tốt/ thành tích tốt sẽ có lợi thế đặc biệt. Các bạn quan tâm ib mình gửi JD nhé.",,,1,1,Tuyển dụng Fresher/Intern/LTV tại cả HN và HCM nhiều vị trí ,39,https://www.facebook.com/groups/174764463261090/posts/1279273389476853/?__cft__[0]=AZUhHj3N2Gqfv49w5UEpJD5eeSl3tD7NNX3vlGaTe7jNcGf9tfHu8iG18oQoTS0UorTSDLP5XWtE47Cv2Nb3MROBrCmy5pKQ8z6STdRmT1RAfiKB6nSldYrp2Fh0uoTuCRYH4bQQ-GRE_wdDbqKZ6V4o&__tn__=%2CO%2CP-R,Eiramy Hoang,1380
